poll_time_utc,device_event_time_utc,lag_ms
2026-03-12T17:19:33.664822+00:00,2026-03-12T17:17:29.495019+00:00,124169.8
2026-03-12T17:20:00.395691+00:00,2026-03-12T17:18:19.663997+00:00,100731.7
2026-03-12T17:20:40.954050+00:00,2026-03-12T17:18:39.721189+00:00,121232.9
2026-03-12T17:21:03.253602+00:00,2026-03-12T17:18:49.751808+00:00,133501.8
